,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
496,output52_ligand215_2023-11-21-14:35,-8.143,1.8747000000000007,279.219829168,1.6644294364656589,[26.07678401 43.05447702 31.24438564]
497,output417_ligand234_2023-11-21-14:35,-8.142,2.437800000000001,433.24980896799997,1.375199045707881,[33.22323738 31.65255744 29.33117267]
498,output52_ligand805_2023-11-21-14:35,-8.141,2.467600000000001,240.172544628,1.6832493121362897,[26.97880895 43.33917258 31.67573829]
499,output44_ligand706_2023-11-21-14:35,-8.141,2.4195000000000007,372.244664012,1.2568221177341845,[35.96427859 45.06420254 27.84179488]
500,output413_ligand430_2023-11-21-14:35,-8.14,3.1064000000000016,477.32364260399993,1.4636195358784905,[35.79981329 46.19172411 27.77791286]
501,output44_ligand692_2023-11-21-14:35,-8.139,0.9689999999999988,314.268176328,1.6417119782682403,[25.63682606 43.35704807 31.57396557]
502,output52_ligand66_2023-11-21-14:35,-8.137,0.0,0.0,0.0,"[0, 0, 0]"
503,output44_ligand232_2023-11-21-14:35,-8.136,2.2392,353.304227488,1.4214297014476729,[31.97974442 44.2387762  28.02820236]
504,output52_ligand446_2023-11-21-14:35,-8.136,1.9820000000000007,383.314792172,1.3126155007514078,[33.10008114 46.25909961 29.58213195]
505,output52_ligand140_2023-11-21-14:35,-8.135,0.7256000000000002,321.20638459599996,1.7555295909411193,[26.51633412 44.28146584 32.84852203]
506,output52_ligand602_2023-11-21-14:35,-8.135,3.623000000000003,320.28276377199995,1.4402532459750539,[26.99069927 44.36812536 32.14786299]
507,output417_ligand244_2023-11-21-14:35,-8.135,3.2558000000000025,431.398796568,0.9982531697556425,[32.35188981 30.86046221 29.09673467]
508,output26_ligand911_2023-11-21-14:35,-8.13,4.160400000000004,234.198365452,1.6264571491069386,[29.11925455 30.60447159 32.13212847]
509,output52_ligand148_2023-11-21-14:35,-8.128,4.116100000000002,440.25312052000004,1.292636324793764,[26.37700012 46.00354865 32.83196387]
510,output44_ligand241_2023-11-21-14:35,-8.128,2.9764000000000013,377.340612996,1.751832562393585,[34.53207507 44.42018308 26.70799895]
511,output413_ligand649_2023-11-21-14:35,-8.127,3.0570000000000004,337.27292736,1.5229997767309968,[32.36450003 44.62945346 28.51394986]
512,output52_ligand676_2023-11-21-14:35,-8.127,1.8382999999999998,278.19833091218,1.371564532630725,[26.87028717 43.99821428 32.39177814]
513,output44_ligand812_2023-11-21-14:35,-8.126,3.3770000000000016,388.19493277199996,1.860156378742035,[36.92838554 45.9593262  27.92737937]
514,output44_ligand90_2023-11-21-14:35,-8.123,1.4341000000000015,396.240641252,1.835748122539628,[33.41351018 45.06260962 28.99372375]
515,output44_ligand617_2023-11-21-14:35,-8.122,2.904500000000001,349.309312868,1.3823276042360386,[33.98074881 44.100168   27.41054893]
516,output52_ligand402_2023-11-21-14:35,-8.122,0.8458000000000021,419.25439740799993,1.368217716084915,[26.13495241 44.40248779 31.69416326]
517,output52_ligand222_2023-11-21-14:35,-8.12,1.6666000000000027,476.38387477599997,1.1815970969468077,[25.56077797 45.17193942 32.14465293]
518,output52_ligand60_2023-11-21-14:35,-8.116,0.11880000000000157,375.23041091600004,1.2480969827903468,[27.09457538 44.69976883 32.46619518]
